BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
225,02247,SPY  ,1.3.3.x.2.y.1,C,8,2016/07/08 20:13,2016/08/31 17:17
226,02247,SPY  ,1.3.3.x.2.y.1,C,2,2016/06/30 18:34,2016/08/31 17:41
227,02247,SPY  ,1.3.3.x.2.y.1,C,4,2016/06/30 18:32,2016/08/31 17:41
228,02471,SPY  ,1.3.3.x.2.y.1,C,10,2016/06/29 16:51,2016/08/31 17:32
229,02471,SPY  ,1.2.x.y.3.1,C,4,2016/06/29 07:55,2016/08/31 17:31
230,02367,SPY  ,1.3.3.x.2.y.1,C,12,2016/06/28 23:23,2016/09/06 14:28
231,02433,SPY  ,1.3.3.x.2.y.1,C,13,2016/06/28 23:23,2016/10/05 17:00
232,02392,SPY  ,1.3.3.x.2.y.1,C,9,2016/06/28 23:23,2016/09/19 11:26
233,02392,SPY  ,1.5.x.y.3,C,1,2016/06/28 23:23,2016/09/20 14:31
234,02392,SPY  ,1.3.3.x.2.y.1,C,10,2016/06/28 23:23,2016/08/31 17:26
235,02392,SPY  ,1.2.x.y.3.1,C,18,2016/06/28 23:23,2016/08/31 17:26
236,02392,SPY  ,1.3.3.x.3.y.1,C,12,2016/06/28 23:23,2016/08/31 17:26
237,02367,SPY  ,1.3.3.x.2.y.1,C,6,2016/06/28 23:23,2016/08/31 17:26
238,02471,SPY  ,1.3.3.x.2.y.1,C,20,2016/06/28 23:23,2016/08/31 17:26
239,02367,SPY  ,1.3.3.x.3.y.1,C,9,2016/06/28 23:23,2016/08/31 17:27
240,02471,SPY  ,1.3.3.x.2.y.1,C,22,2016/06/28 23:22,2016/08/31 17:32
241,02471,SPY  ,1.3.3.x.2.y.1,C,2,2016/06/28 23:22,2016/08/31 17:32
242,02471,SPY  ,1.3.3.x.2.y.1,C,3,2016/06/28 23:22,2016/08/31 17:32
243,02471,SPY  ,1.3.3.x.3.y.1,C,5,2016/06/28 23:21,2016/08/31 17:32
244,02471,SPY  ,1.2.x.y.3.1,C,16,2016/06/28 23:21,2016/08/31 17:32
245,02367,SPY  ,1.3.3.x.2.y.1,C,6,2016/06/28 23:21,2016/08/31 17:32
246,02433,SPY  ,1.3.3.x.2.y.1,C,6,2016/06/28 23:20,2016/09/21 11:53
247,02392,SPY  ,1.3.3.x.2.y.1,C,5,2016/06/28 15:59,2016/08/31 17:27
248,02392,SPY  ,1.3.3.x.2.y.1,C,8,2016/06/28 15:57,2016/08/31 17:26
249,02471,SPY  ,1.2.x.y.3.1,C,18,2016/06/24 13:33,2016/08/31 17:32
250,02392,SPY  ,1.3.3.x.2.y.1,C,15,2016/06/23 15:09,2016/08/31 17:27
251,02247,SPY  ,1.7.x.1,C,4,2016/06/20 19:15,2016/08/31 17:16
252,02247,SPY  ,1.3.3.x.2.y.1,C,22,2016/06/20 19:13,2016/08/31 17:41
253,02392,SPY  ,1.3.3.x.2.y.1,C,11,2016/06/20 16:59,2016/08/31 17:35
254,02471,SPY  ,1.2.x.y.3.1,C,10,2016/06/16 12:35,2016/08/31 17:31
255,02471,SPY  ,1.2.x.y.3.1,C,5,2016/06/16 12:35,2016/08/31 17:32
256,02247,SPY  ,1.3.3.x.2.y.1,C,16,2016/06/16 12:35,2016/08/31 17:41
257,02367,SPY  ,1.3.3.x.3.y.1,C,8,2016/06/16 12:35,2016/08/31 17:16
258,02247,SPY  ,1.3.3.x.2.y.1,C,11,2016/06/15 23:39,2016/08/31 17:16
259,02247,SPY  ,1.3.3.x.2.y.1,C,19,2016/06/15 23:39,2016/08/31 17:17
260,02247,SPY  ,1.3.3.x.2.y.1,C,13,2016/06/15 23:39,2016/08/31 17:17
261,02247,SPY  ,1.3.3.x.3.y.1,C,12,2016/06/15 23:39,2016/08/31 17:17
262,02247,SPY  ,1.7.x.1,C,14,2016/06/15 23:39,2016/08/31 17:17
263,02247,SPY  ,1.3.3.x.2.y.1,C,22,2016/06/15 23:38,2016/08/31 17:41
264,02247,SPY  ,1.3.3.x.3.y.1,C,18,2016/06/15 23:38,2016/08/31 17:41
265,02247,SPY  ,1.3.3.x.3.y.1,C,12,2016/06/15 23:38,2016/08/31 17:41
266,02247,SPY  ,1.3.3.x.3.y.1,C,19,2016/06/15 23:38,2016/08/31 17:41
267,02247,SPY  ,1.3.3.x.3.y.1,C,20,2016/06/15 23:38,2016/08/31 17:41
268,02367,SPY  ,1.3.3.x.2.y.1,C,1,2016/06/10 20:45,2016/10/05 21:01
269,02367,SPY  ,1.3.3.x.2.y.1,C,19,2016/06/10 20:45,2016/10/12 15:11
270,02392,SPY  ,1.3.3.x.2.y.1,C,20,2016/06/10 20:44,2016/08/31 17:35
271,02392,SPY  ,1.3.3.x.2.y.1,C,12,2016/06/10 20:44,2016/08/31 17:35
272,02392,SPY  ,1.3.3.x.2.y.1,C,18,2016/06/10 20:43,2016/08/31 17:25
273,02392,SPY  ,1.3.3.x.2.y.1,C,22,2016/06/10 20:43,2016/08/31 17:26
274,02367,SPY  ,1.3.3.x.3.y.1,C,16,2016/06/10 20:43,2016/08/31 17:26
275,02392,SPY  ,1.3.3.x.2.y.1,C,20,2016/06/10 20:43,2016/08/31 17:26
276,02367,SPY  ,1.3.3.x.2.y.1,C,13,2016/06/10 20:43,2016/08/31 17:26
